company_id,ticker,company_name,previous_year,current_year,previous_pattern,current_pattern,change_description
DMART,DMART,Avenue Supermarts Ltd,2020,2021,Mixed,Shareholder Returns,Moved from Mixed to Shareholder Returns
DMART,DMART,Avenue Supermarts Ltd,2021,2022,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
DMART,DMART,Avenue Supermarts Ltd,2022,2023,Reinvestor,Shareholder Returns,Moved from Reinvestor to Shareholder Returns
DRREDDY,DRREDDY,Dr Reddys Laboratories Ltd,2013,2014,Reinvestor,Shareholder Returns,Moved from Reinvestor to Shareholder Returns
DRREDDY,DRREDDY,Dr Reddys Laboratories Ltd,2023,2024,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
EICHERMOT,EICHERMOT,Eicher Motors Ltd,2016,2017,Shareholder Returns,Mixed,Moved from Shareholder Returns to Mixed
EICHERMOT,EICHERMOT,Eicher Motors Ltd,2017,2018,Mixed,Shareholder Returns,Moved from Mixed to Shareholder Returns
EICHERMOT,EICHERMOT,Eicher Motors Ltd,2018,2019,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
EICHERMOT,EICHERMOT,Eicher Motors Ltd,2020,2021,Reinvestor,Shareholder Returns,Moved from Reinvestor to Shareholder Returns
EICHERMOT,EICHERMOT,Eicher Motors Ltd,2021,2022,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
GAIL,GAIL,GAIL (India) Ltd,2013,2014,Mixed,Reinvestor,Moved from Mixed to Reinvestor
GAIL,GAIL,GAIL (India) Ltd,2014,2015,Reinvestor,Shareholder Returns,Moved from Reinvestor to Shareholder Returns
GAIL,GAIL,GAIL (India) Ltd,2019,2020,Shareholder Returns,Mixed,Moved from Shareholder Returns to Mixed
GAIL,GAIL,GAIL (India) Ltd,2020,2021,Mixed,Shareholder Returns,Moved from Mixed to Shareholder Returns
GAIL,GAIL,GAIL (India) Ltd,2021,2022,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
GAIL,GAIL,GAIL (India) Ltd,2022,2023,Reinvestor,Mixed,Moved from Reinvestor to Mixed
GAIL,GAIL,GAIL (India) Ltd,2023,2024,Mixed,Shareholder Returns,Moved from Mixed to Shareholder Returns
GODREJCP,GODREJCP,Godrej Consumer Products Ltd,2013,2014,Mixed,Shareholder Returns,Moved from Mixed to Shareholder Returns
GODREJCP,GODREJCP,Godrej Consumer Products Ltd,2016,2017,Shareholder Returns,Mixed,Moved from Shareholder Returns to Mixed
GODREJCP,GODREJCP,Godrej Consumer Products Ltd,2017,2018,Mixed,Shareholder Returns,Moved from Mixed to Shareholder Returns
GODREJCP,GODREJCP,Godrej Consumer Products Ltd,2018,2019,Shareholder Returns,Liquidating Assets,Moved from Shareholder Returns to Liquidating Assets
GODREJCP,GODREJCP,Godrej Consumer Products Ltd,2019,2020,Liquidating Assets,Shareholder Returns,Moved from Liquidating Assets to Shareholder Returns
GODREJCP,GODREJCP,Godrej Consumer Products Ltd,2021,2022,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
GODREJCP,GODREJCP,Godrej Consumer Products Ltd,2022,2023,Reinvestor,Shareholder Returns,Moved from Reinvestor to Shareholder Returns
GODREJCP,GODREJCP,Godrej Consumer Products Ltd,2023,2024,Shareholder Returns,Mixed,Moved from Shareholder Returns to Mixed
GRASIM,GRASIM,Grasim Industries Ltd,2013,2014,Mixed,Shareholder Returns,Moved from Mixed to Shareholder Returns
GRASIM,GRASIM,Grasim Industries Ltd,2017,2018,Shareholder Returns,Distress Signal,Moved from Shareholder Returns to Distress Signal
GRASIM,GRASIM,Grasim Industries Ltd,2018,2019,Distress Signal,Growth Funded by Debt,Moved from Distress Signal to Growth Funded by Debt
GRASIM,GRASIM,Grasim Industries Ltd,2019,2020,Growth Funded by Debt,Shareholder Returns,Moved from Growth Funded by Debt to Shareholder Returns
GRASIM,GRASIM,Grasim Industries Ltd,2021,2022,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
GRASIM,GRASIM,Grasim Industries Ltd,2022,2023,Reinvestor,Growth Funded by Debt,Moved from Reinvestor to Growth Funded by Debt
HAL,HAL,Hindustan Aeronautics Ltd,2016,2017,Insufficient Data,Mixed,Moved from Insufficient Data to Mixed
HAL,HAL,Hindustan Aeronautics Ltd,2018,2019,Mixed,Distress Signal,Moved from Mixed to Distress Signal
HAL,HAL,Hindustan Aeronautics Ltd,2019,2020,Distress Signal,Mixed,Moved from Distress Signal to Mixed
HAL,HAL,Hindustan Aeronautics Ltd,2020,2021,Mixed,Shareholder Returns,Moved from Mixed to Shareholder Returns
HAVELLS,HAVELLS,Havells India Ltd,2015,2016,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
HAVELLS,HAVELLS,Havells India Ltd,2016,2017,Reinvestor,Shareholder Returns,Moved from Reinvestor to Shareholder Returns
HAVELLS,HAVELLS,Havells India Ltd,2018,2019,Shareholder Returns,Liquidating Assets,Moved from Shareholder Returns to Liquidating Assets
HAVELLS,HAVELLS,Havells India Ltd,2019,2020,Liquidating Assets,Shareholder Returns,Moved from Liquidating Assets to Shareholder Returns
